Asset Tag,Asset Type,Asset Type Description,Site,Location,Serial No,Manufacturer,Model,Category,Category,Category,Category,Category,Category,Category,Category,Grade,Grade,Grade,Grade,Physics,Chemistry,Biology,Science,Math
1146,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1147,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1148,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1149,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1150,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1151,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1152,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1153,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1154,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1155,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1156,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1157,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1158,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1159,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1160,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Stephens Hall,STPH 120,,Vernier Software & Technology,STS-BTA,,,,,,,,,,,,,,,,,
1161,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1162,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1163,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1164,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1165,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1166,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1167,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1168,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1169,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1170,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1171,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1172,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1173,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1174,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1175,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1176,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1177,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1178,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Stephens Hall,STPH 120,,Vernier Software & Technology,TMP-BTA,,,,,,,,,,,,,,,,,
1179,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1180,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1181,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1182,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1183,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1184,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1185,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1186,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1187,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1188,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1189,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1190,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1191,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1192,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1193,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1194,Low-g Accelerometer,An attachment for the Vernier LabQuest that can be used in a wide variety of experiments and demonstrations.,Stephens Hall,STPH 120,,Vernier Software & Technology,LGA-BTA,,,,,,,,,,,,,,,,,
1195,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
1196,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
1197,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
1198,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
1199,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
1200,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
1201,Hand Dynamometer,"An attchment for the Vernier LabQuest to measure grip strength, pinch strength, and perform muscle fatigue studies.",Stephens Hall,STPH 120,,Vernier Software & Technology,HD-BTA,,,,,,,,,,,,,,,,,
